"raw_dataset","source_standard_dataset","raw_variable","target_dataset","target_variable","transformation"
"raw_ae_crf.csv","sdtm_ae.csv","subj_id","AE","USUBJID","rename"
"raw_ae_crf.csv","sdtm_ae.csv","ae_record_id","AE","AESPID","rename"
"raw_ae_crf.csv","sdtm_ae.csv","verbatim_term","AE","AETERM","case normalize"
"raw_ae_crf.csv","sdtm_ae.csv","coded_pt","AE","AEDECOD","case normalize"
"raw_ae_crf.csv","sdtm_ae.csv","severity","AE","AESEV","controlled terminology normalize"
"raw_ae_crf.csv","sdtm_ae.csv","serious","AE","AESER","yes/no normalize"
"raw_ae_crf.csv","sdtm_ae.csv","relationship_to_drug","AE","AEREL","controlled terminology normalize"
"raw_ae_crf.csv","sdtm_ae.csv","action_taken","AE","AEACN","controlled terminology normalize"
"raw_ae_crf.csv","sdtm_ae.csv","outcome","AE","AEOUT","controlled terminology normalize"
"raw_ae_crf.csv","sdtm_ae.csv","ae_start_date","AE","AESTDTC","parse mixed date"
"raw_ae_crf.csv","sdtm_ae.csv","ae_end_date","AE","AEENDTC","parse mixed date"
