"raw_dataset","source_standard_dataset","raw_variable","target_dataset","target_variable","transformation"
"raw_dm_demographics.csv","sdtm_dm.csv","subject_no","DM","SUBJID","rename"
"raw_dm_demographics.csv","sdtm_dm.csv","site_number","DM","SITEID","rename"
"raw_dm_demographics.csv","sdtm_dm.csv","consent_dt","DM","RFICDTC","parse mixed date"
"raw_dm_demographics.csv","sdtm_dm.csv","birth_dt","DM","BRTHDTC","parse mixed date"
"raw_dm_demographics.csv","sdtm_dm.csv","sex_at_birth","DM","SEX","case normalize"
"raw_dm_demographics.csv","sdtm_dm.csv","race_text","DM","RACE","case normalize and impute missing"
"raw_dm_demographics.csv","sdtm_dm.csv","ethnicity_text","DM","ETHNIC","case normalize"
"raw_dm_demographics.csv","sdtm_dm.csv","planned_arm","DM","ARM","rename"
"raw_dm_demographics.csv","sdtm_dm.csv","actual_arm","DM","ACTARM","rename"
"raw_dm_demographics.csv","sdtm_dm.csv","country_name","DM","COUNTRY","case normalize"
"raw_dm_demographics.csv","sdtm_dm.csv","treatment_start","DM","RFXSTDTC","parse mixed date"
"raw_dm_demographics.csv","sdtm_dm.csv","death_flag","DM","DTHFL","yes/no normalize"
