"raw_dataset","source_standard_dataset","raw_variable","target_dataset","target_variable","transformation"
"raw_lb_vendor.csv","sdtm_lb.csv","subject_id","LB","USUBJID","rename"
"raw_lb_vendor.csv","sdtm_lb.csv","lab_record","LB","LBSEQ","rename"
"raw_lb_vendor.csv","sdtm_lb.csv","collection_date","LB","LBDTC","parse mixed date"
"raw_lb_vendor.csv","sdtm_lb.csv","visit_name","LB","VISIT","rename"
"raw_lb_vendor.csv","sdtm_lb.csv","test_code","LB","LBTESTCD","rename"
"raw_lb_vendor.csv","sdtm_lb.csv","test_name","LB","LBTEST","case normalize"
"raw_lb_vendor.csv","sdtm_lb.csv","category","LB","LBCAT","case normalize"
"raw_lb_vendor.csv","sdtm_lb.csv","result_value","LB","LBORRES","numeric or character result handling"
"raw_lb_vendor.csv","sdtm_lb.csv","result_unit","LB","LBORRESU","unit normalize and missing review"
"raw_lb_vendor.csv","sdtm_lb.csv","normal_low","LB","LBORNRLO","numeric cast"
"raw_lb_vendor.csv","sdtm_lb.csv","normal_high","LB","LBORNRHI","numeric cast"
"raw_lb_vendor.csv","sdtm_lb.csv","flag","LB","LBNRIND","normal range flag normalize"
