"raw_dataset","source_standard_dataset","raw_variable","target_dataset","target_variable","transformation"
"raw_tte_events.csv","adam_adtte_onco.csv","subject_id","ADTTE","USUBJID","rename"
"raw_tte_events.csv","adam_adtte_onco.csv","analysis_endpoint","ADTTE","PARAM","case normalize"
"raw_tte_events.csv","adam_adtte_onco.csv","event_description","ADTTE","EVNTDESC","case normalize"
"raw_tte_events.csv","adam_adtte_onco.csv","event_or_censor","ADTTE","CNSR","event/censor recode"
"raw_tte_events.csv","adam_adtte_onco.csv","event_date","ADTTE","ADT","parse mixed date"
"raw_tte_events.csv","adam_adtte_onco.csv","randomization_date","ADTTE","STARTDT","parse mixed date"
"raw_tte_events.csv","adam_adtte_onco.csv","analysis_day","ADTTE","AVAL","numeric cast"
"raw_tte_events.csv","adam_adtte_onco.csv","treatment_arm","ADTTE","ARM","rename"
"raw_tte_events.csv","adam_adtte_onco.csv","age","ADTTE","AGE","numeric cast"
"raw_tte_events.csv","adam_adtte_onco.csv","sex","ADTTE","SEX","case normalize"
